N	Gloss	PL	WB	Akha	HaniW	HaniL	Khatu	Pijo	Haoni	Mpi
155.394	Pillow	ªm+gum	ªÖum	ÁÁ©m	££hhaoq	ÁÁ©¿	ÁÁtjhi	ÁÁkhi		ªÖŒ ªkwi³
250.573	Pinch	îtsit		££tsúq	££zev	££tsúq	°°tsho	°°tjhú/ÁÁtsúq	£Átsh½	£tûhe/ £tûhuÖ
189.201	Plow			ÁÁtshä	££ceiq	ÁÁtshä	ÁÁtshy	ÁÁtshú
279.	Poison	ñdok	¼tok	ÁÁdoq				£°t§v, £tv °	ªtoÖ
258.535	Pour			££sjäq	££seiv	°°shä	°°sjhä	°°sjhi
542.332	Pull	Ám+ga³		££©ú	££hhe	££©ú			££©·
190.209	Pumpkin			££dä	££ddei	££dä		££tä
656.230	Rain	Áwe	(ªmui)	°°jä	££sseil	°°jä	°°xhu	°°xhu		ªÖŒ °ho
110.152	Raise	(Ám+yu)		££tjhu	££qu	££tjhu	££sjhu	££tjhu
324.452	Rat	îk+rwak	¼krwak	££ho-ÁÁtjaq, ÁÁxoq-tjaq	££huzavq	££fu-ÁÁtjaq	££xho ÁÁtsha	££fu-ÁÁtsha		¢hoÖ ªtûa
11.185	Red	ÁÖni	Áni	°°ne	££nil	°°ni	°°ny	°°ny	°°ùi	°nú
188.213	Release			ÁÁpjhä	££pieiq	ÁÁphä	ÁÁphi	ÁÁphi
69.37	Rest			ÁÁna	££naq	ÁÁna		ÁÁn¿
183.204	Rice	Ácan	Áchan	°°tjhä	££ceil	°°tjhä	°°tjhi	°°tjhi		¢koÖ ¤tûhe
169.387	Rice ears			°°nm	££naol	°°n¿	°°ni	°°ni		¤nú³
13.112	Ride	ªdzi	ªci	ÁÁdzi	££zziq	ÁÁdzy	ÁÁtsy	ÁÁtsy		Át·
194.427	Ripen	£s+mi³	Áhmya~n	££mja³	££miao	££miao,££mj¿	££mi	££mi
224.288	River	Ála³	Ákhlo³	°°l¿	££lol	°°lo	°°sjhy	°°lu
116.361	Root around			££bÙo	££bbyuq	££bÙo	ÁÁpji	ÁÁpji
314.451	Rope			££tjaq	££zav	££tjaq	££tjh¿	££tjh¿
235.498	Rotten	ñm+bup	¼pup	ÁÁbuq	££bbuvq	ÁÁbu	ÁÁpo			ÁpuÖ
242.550	Sandals	ñnap	¼~nap	££n¿q	££naov	££n¿q	££n¿	ÁÁna		ªno³
214.268	See	ÁÖ+mra³	Ámra³	°°m¿	££mol	°°mo	°°mju	°°mu		°mjŒ³
393.	Seed	ñmruk	¼mrak	ÁÁmoq	££muvq				ªÁmÒu	°pú
230.402	Sell	(k)+ªrwa³	ªro³	ÁÁa³	££aoq	ÁÁ¿	ÁÁvu	ÁÁwu		Áku³
168.388	Sesame	ªs+nam	ªhnam	ÁÁnm	££naoq	££n¿	ÁÁni	ÁÁny		ªnú³
592.	Seven	ñÆik	(Áhnac)	ÁÁsjyq	££sivq	ÁÁsjhi	ÁÁsjy	ÁÁki	ªÁÆ½	ªsiÖ
237.495	Sew	ñgyup	¼khyup	ÁÁguq	££gguvq	ÁÁguq,££guq	(ÁÁtjo)	££koq	£Ák§v	(ÁtoÖ)
238.502	Shake	îk+lup	¼hlup	££luq	££lu	££lu	££lu	££lúq		£luÖ
167.381	Shan	ªcam	(ªhram)	ÁÁtjhm	££caoq	ÁÁtjh¿		ÁÁtjhi
307.456	Sharp	îtak	¼thak	££taq	££dav	££taq	££tha	°°tha		£tha
18.137	Sharpen	ªsi		ÁÁshi	££siiq	ÁÁshy	ÁÁshy	ÁÁshy		Ás·
129.282	Sheep	Áïo	ªsui	°°j¿	££yol			°°ïu
178.215	Shirt	Ábun		°°phä	°°phä	°°phä				¤pŒ ¢kha
294.579	Shoot	îm+pÙok	¼phok	££búq	££bbev	££búq
163.382	Short	Án+yum		°°njm	££niaol	°°nj¿	°°nji	(°°pi)		°hi³Ö,°ni³
70.35	Sick	Ána	Ána	°°na	££nal	°°na	°°n¿	°°na	°°n¿	°no
272.566	Sink			ÁÁnyq	££neevq	££nyq	ÁÁnúq	ÁÁnúq
283.504	Six	ñkrok	¼khrok, ¼khlok	ÁÁkoq	££guvq	ÁÁguq,ÁÁkhy		ÁÁkhú	£Ákh§v	ªkhoÖ
232.500	Sleep	ñyip	¼Öip	ÁÁjuq	££yiuvq	ÁÁjuq	ÁÁi	°°i	£Áï§v	ÁÖiÖ
46.120	Small	Án+yay	ªnay	°°nji	££nil	°°nji	°°nji	°°nji		°ø·
225.289	Snake	Ála³	(Ámrwe)	°°l¿	°°lol	°°lu	°°xhu	°°lu		¢Öi ¤lo³
271.564	Soak			££dyq	££ddeev	££dyq	££túq	££túq
200.424	Soft		(ªnu, ªhnu)	ÁÁna³	££naoq	ÁÁn¿	££ny	££ny
401.	Sound			°°the	££teil	°°the,°°thi	°°thy	°°thy
176.205	Sour	ÁÖ+kyin	Ákhya~n	°°tjhä	££qeil	°°tjhä	°°tshy	°°tshy		°tûhe
229.277	Spin	Ág+wa³	Áwa³	°°©¿	££hho	°°©o	°°ku	°°ku
100.156	Stand up	ÁÖ+tu		°°thu	££tul	°°thu	°°thu	°°thu		£tho
43.301	Star	Ágray	Ákray	°°gy	££ggeel	°°gy	°°tji	°°ki		¤ki
