id	level	type	proto	context	Qiandong	Xiangxi	WhiteHmong	Masha	Luopohe	Jiongnai	Baiyun	Luoxiang	Mun	BiaoMin	ZaoMin
258		R	um									um	um	ən,in	um,am
259		R	un		oŋ	oŋ	ɔ	əŋ	oŋ	ɐŋ	æ̃,a	un	un,in	ən,un,in	an,on,ɔn
260		R	up		ə	u	au	u,o	o	ɔ	ɯ,ɔ	op	ɔp	ən,in	up
261		R	ut		ə	u	au	u	o			ut	ut	un	it
262		R	uw		ə,u,a	u,ɔ,ɯ	au,e	u,o,æ	o,u,a,ei	ɔu,ɔ,ei,u,a	a,ɯ,ɔ,o	o	u	u	ɔu,u
263		R	uŋ		aŋ,oŋ	oŋ	ɔ,a	əŋ,a,ɔ,aŋ	u,oŋ,i	ɐŋ	õ,ɔ,ɤ	uŋ,e	uŋ,uːŋ	ə,ɔŋ	ɔŋ,iŋ
264		R	uə		ə	o	ua	əa,a	a	u	o,õ	u	u	u	u,au
265		R	u̯a		a,u,i	ɑ,a	ua	a,əa	a,u	a	a,ɛ				
266		R	u̯ai									aːi	aːi	a	ɔi
267		R	u̯am									am	ɔːm,ɔm	aŋ	am
268		R	u̯at							ɔ	ɯ	ut	ɔt	an	ut
269		R	u̯ei		i,oŋ,ɛ,o	ə,u,ɯ,ɔ,o	ɯ,i,ɔ,au,a,ei	u,au,ɔ,ou	u,ɔ,o	au,u,ei,ɐŋ,ou	ɛ,ei,ɪ,ɯ,i,e,ɔ	ei,ɪ,i	ei	əi,i,ai,ei	ui,ɛi,i
270		R	u̯eiA									ei	ui	au	
271		R	u̯em		u	u	ɔŋ	aŋ	o	aŋ	õ	em	im	ɛn	um
272		R	u̯en		aŋ	ɑŋ	ɔ	oŋ	oŋ	ui		ən	en	ən	ui
273		R	u̯eŋ		u	u	ɔŋ	aŋ	oŋ	aŋ	ɔ̃	ɛŋ	eːŋ	ɛ	
274		R	u̯i		o	ɯ	ɔ	ɔ	u	u	a	i	i	əi	i
275		R	u̯o		o	o,ɔ	ɔ,u	o	u	u	o	o	u	u	u
276		R	u̯okD									o	u	ɔ	
